형태소,품사,남녀,카운트
맴돌던,Verb,남,1
맴돌던,Verb,여,2
맴돌면서,Verb,남,1
맴돌아,Verb,남,3
맴돌아,Verb,여,6
맴매,Verb,여,1
맴맴,Adverb,남,1
맴맴,Adverb,여,1
맵시,Noun,남,1
맵시,Noun,여,4
맸지,Verb,남,1
맹,Noun,여,1
맹맹,Noun,여,1
맹세,Noun,남,7
맹세,Noun,여,7
맹수,Noun,남,4
맺어지는,Verb,남,1
맺어진,Verb,남,2
맺혀,Verb,남,2
맺혀,Verb,여,2
맺혔,Noun,남,2
맺히게,Verb,여,1
맺히는지,Verb,남,2
맺히면,Verb,남,1
맺힌,Noun,남,2
맺힌,Noun,여,1
머,Noun,남,22
머,Noun,여,5
머금,Noun,남,2
머금,Noun,여,5
머금던,Noun,남,1
머나먼,Adjective,여,1
머리,Noun,남,93
머리,Noun,여,50
머리카락,Noun,남,3
머리카락,Noun,여,1
머리칼,Noun,남,2
머린,Noun,남,3
머린,Noun,여,5
머릴,Noun,남,7
머릴,Noun,여,6
머릿결,Noun,남,3
머릿결,Noun,여,1
머릿속,Noun,남,49
머릿속,Noun,여,29
머무는,Verb,남,8
머무는지,Verb,남,2
머무르고,Verb,여,3
머무르는,Verb,남,1
머무른다면,Verb,남,1
머무를,Verb,남,2
머무를,Verb,여,1
머무를게,Verb,남,2
머문,Verb,남,2
머문다,Verb,남,12
머문다고,Verb,남,1
머물,Verb,남,7
머물,Verb,여,2
머물고,Verb,남,2
머물고,Verb,여,4
머물고만,Verb,여,1
머물길,Verb,여,1
머물다,Verb,남,1
머물러,Verb,남,18
머물러,Verb,여,8
머물러야,Verb,남,3
머물러야만,Verb,남,1
머물러있고,Verb,남,3
머물러있는데,Verb,여,1
머물러줄래,Verb,남,3
머물러줘,Verb,남,10
머물러줘요,Verb,남,1
머물렀는지,Verb,남,1
머물며,Verb,남,1
머물지,Verb,여,2
머뭇,Noun,여,1
머뭇거리겠지만,Verb,남,1
머뭇거리니,Verb,남,1
머뭇거리면,Verb,여,1
머뭇거리지,Verb,남,2
머시마,Adjective,남,1
머쓱하게,Adjective,여,1
먹,Verb,여,1
먹게,Verb,남,1
먹겠지만,Verb,남,1
먹고,Verb,남,13
먹고,Verb,여,7
먹고는,Verb,남,1
먹고서,Verb,여,1
먹구름,Noun,남,8
먹구름,Noun,여,1
먹기,Noun,남,1
먹기,Noun,여,1
먹냐,Verb,남,1
먹는,Verb,남,4
먹는,Verb,여,1
먹다,Verb,남,1
먹든,Verb,남,2
먹서,Verb,여,1
먹어,Verb,여,2
먹어도,Verb,남,5
먹어도,Verb,여,3
먹어줄,Verb,남,1
먹었는데,Verb,남,1
먹었는지,Verb,여,1
먹었니,Verb,남,1
먹었어,Verb,여,1
먹었지,Verb,남,1
먹였지,Verb,남,1
먹으셈,Verb,남,1
먹은,Verb,남,5
먹을,Verb,남,4
먹음,Noun,여,1
먹이,Noun,남,1
먹이사슬,Noun,남,1
먹일,Verb,남,1
먹잇감,Noun,남,2
먹자,Verb,남,1
먹잖니,Verb,남,1
먹지,Verb,남,2
먹지,Verb,여,3
먹지는,Verb,남,1
먹지마,Verb,남,4
먹지마,Verb,여,1
먹혀,Verb,남,2
먼,Adjective,남,54
먼,Adjective,여,21
먼다고,Adjective,남,1
먼데,Adjective,남,2
먼데서,Adjective,남,1
먼동,Noun,남,2
먼발치,Noun,남,1
먼저,Noun,남,34
먼저,Noun,여,40
먼지,Noun,남,20
먼지,Noun,여,2
멀,Adjective,여,2
멀거나,Adjective,여,1
멀게,Adjective,남,1
멀게,Adjective,여,2
멀게만,Adjective,남,1
멀게만,Adjective,여,2
멀고,Adjective,남,3
멀고도,Adjective,남,1
멀기만,Adjective,남,1
멀까,Adjective,남,1
멀다,Adjective,남,2
멀도록,Adjective,남,1
멀리,Noun,남,148
멀리,Noun,여,45
멀면,Adjective,남,2
멀미,Noun,남,1
멀어,Adjective,남,9
멀어도,Adjective,남,1
멀어서,Adjective,남,1
멀어서,Adjective,여,3
멀어져,Verb,남,21
멀어져,Verb,여,7
멀어져가,Verb,남,2
멀어져가는,Verb,남,2
멀어져도,Verb,남,1
멀어져도,Verb,여,1
멀어져만,Verb,남,3
멀어져서,Verb,남,1
멀어져야,Verb,여,2
멀어져요,Verb,남,3
멀어졌나요,Verb,여,1
멀어졌다,Verb,남,1
멀어졌어,Verb,여,1
멀어졌어도,Verb,남,2
멀어지게,Verb,남,3
멀어지고,Verb,남,2
멀어지고,Verb,여,2
멀어지나요,Verb,여,1
멀어지네,Verb,남,2
멀어지는,Verb,남,8
멀어지는,Verb,여,6
멀어지는걸,Verb,남,1
멀어지듯이,Verb,남,1
멀어지려고,Verb,남,1
멀어지면,Verb,남,2
멀어지지,Verb,남,4
멀어지지,Verb,여,3
멀어지진,Verb,남,7
멀어진,Verb,남,8
멀어진,Verb,여,5
멀어진다면,Verb,여,3
멀어진대,Verb,남,1
멀어질,Verb,여,4
멀어질까,Verb,남,2
멀어질까,Verb,여,1
멀었나,Adjective,남,2
멀었던,Adjective,남,2
멀었던,Adjective,여,1
멀었어,Adjective,남,3
멀었었나,Adjective,여,1
멀었잖아,Adjective,여,1
멀지,Adjective,남,8
멀지,Adjective,여,2
멀지만,Adjective,남,1
멀쩡하다,Adjective,남,1
멀쩡한,Adjective,남,3
멀쩡해,Adjective,남,1
멀쩡해,Adjective,여,1
멀쩡했잖아,Adjective,여,1
멈추게,Verb,남,4
멈추게,Verb,여,1
멈추고,Verb,남,4
멈추고,Verb,여,3
멈추고서,Verb,남,1
멈추곤,Verb,남,1
멈추기,Verb,여,2
멈추기가,Verb,여,3
멈추기는,Verb,남,2
멈추기를,Verb,여,1
멈추기엔,Verb,남,1
멈추긴,Verb,남,3
멈추길,Verb,남,1
멈추네,Verb,남,2
멈추는,Verb,남,2
멈추는,Verb,여,1
멈추던,Verb,남,2
멈추던가,Verb,남,1
멈추도록,Verb,남,1
멈추려,Verb,남,1
멈추려,Verb,여,1
멈추려하지마,Verb,여,2
멈추어,Verb,남,2
멈추죠,Verb,남,2
멈추지,Verb,남,16
멈추지,Verb,여,21
멈추지는,Verb,남,4
멈추지를,Verb,여,3
멈추지마,Verb,남,5
멈추지마,Verb,여,5
멈추질,Verb,남,1
멈추질,Verb,여,2
멈춘,Verb,남,19
멈춘,Verb,여,9
멈춘다면,Verb,남,1
멈출,Verb,남,42
멈출,Verb,여,14
멈출거란다,Verb,남,3
멈출래,Verb,남,3
멈출수,Verb,남,2
멈출수가,Verb,남,1
멈춰,Verb,남,50
멈춰,Verb,여,24
멈춰도,Verb,남,2
멈춰도,Verb,여,1
멈춰서,Verb,남,7
멈춰서도,Verb,남,5
멈춰야만,Verb,여,3
멈춰요,Verb,남,1
멈춰있는데,Verb,남,1
멈춰있던,Verb,여,2
멈춰있어,Verb,남,3
멈춰있을,Verb,남,2
멈춰있지,Verb,남,4
멈춰있지만,Verb,남,1
멈춰있진,Verb,남,1
멈춰져,Verb,여,2
멈춰져요,Verb,여,1
멈춰졌어,Verb,남,1
멈춰졌어요,Verb,여,1
멈춰줄래,Verb,여,1
멈춰줘,Verb,남,4
멈춰지지,Verb,남,1
멈춰진,Verb,남,1
멈춰진,Verb,여,1
멈췄나,Verb,여,2
멈췄던,Verb,여,2
멈췄어,Verb,남,7
멈췄으면,Verb,여,3
멈췄지,Verb,남,1
멈칫,Noun,남,4
멈칫,Noun,여,2
멈칫멈칫,Adverb,남,1
멋,Noun,남,8
멋,Noun,여,2
멋대로,Noun,남,10
멋대로,Noun,여,16
멋있게,Adjective,여,6
멋있는,Adjective,남,3
멋있는,Adjective,여,2
멋있다는,Adjective,여,1
멋있어,Adjective,여,5
멋있어서,Adjective,남,3
멋쟁이,Noun,남,1
멋져,Adjective,남,7
멋져,Adjective,여,15
멋졌던,Adjective,여,1
멋졌어,Adjective,여,2
멋지게,Adjective,남,4
멋지게,Adjective,여,2
멋지니,Adjective,여,3
멋지단,Adjective,여,1
멋지려,Adjective,여,1
멋지지,Adjective,남,2
멋진,Adjective,남,31
멋진,Adjective,여,48
멍,Noun,남,11
멍,Noun,여,1
멍석,Noun,여,1
멍청이,Noun,남,5
멍청한,Adjective,남,7
멍청해지잖아,Adjective,남,4
멍청히,Adjective,남,1
멍하게,Adjective,남,1
멍하게,Adjective,여,4
멍하니,Noun,남,7
멍하니,Noun,여,3
멍한,Adjective,남,1
멍한,Adjective,여,1
멍히,Adjective,남,1
멎네,Verb,여,1
멎는,Verb,남,2
멎는,Verb,여,2
멎는다,Verb,남,1
멎어,Verb,남,1
멎어,Verb,여,1
멎어도,Verb,남,7
멎었단,Verb,남,2
멎었어,Verb,남,3
멎은,Verb,남,2
멎은,Verb,여,1
멎을,Verb,남,7
멎지,Verb,남,4
메,Noun,남,15
메,Noun,여,1
메고,Verb,남,2
메기,Noun,남,1
메꿀,Noun,남,1
메디,Verb,남,1
메란,Verb,여,1
메리,Noun,남,8
메말라,Verb,남,2
메멘토,Noun,남,1
메모장,Noun,남,2
메세지,Noun,남,2
메세진,Verb,여,1
메세질,Verb,남,1
메시지,Noun,남,4
메시지,Noun,여,1
메시질,Verb,남,2
메신저,Noun,남,1
메아리,Noun,남,11
메아리,Noun,여,1
메어,Verb,남,1
메였고,Verb,남,1
메우고,Verb,여,1
메워,Verb,여,1
메이저,Noun,남,3
메이크업,Noun,남,1
메인,Noun,남,1
메인,Noun,여,1
메일,Noun,남,1
메탈,Noun,남,1
메트로놈,Noun,남,1
멘붕,Noun,여,1
멘션,Noun,남,5
멘탈,Noun,남,2
멘탈,Noun,여,1
멘토,Noun,남,1
멘트,Noun,남,1
멘트,Noun,여,2
멜로,Noun,남,1
멜로,Noun,여,1
멜로디,Noun,남,20
멜로디,Noun,여,8
며,Josa,남,20
며,Josa,여,6
며,Noun,남,3
며칠,Noun,남,8
며칠,Noun,여,3
멱살,Noun,여,1
면,Josa,남,146
면,Josa,여,50
면,Noun,남,5
면,Noun,여,2
면상,Noun,남,1
면서,Noun,남,2
면허,Noun,남,1
명,Foreign,남,4
명,Noun,남,8
명,Noun,여,2
명도,Noun,남,3
명동,Noun,남,1
명령,Noun,남,3
명령,Noun,여,1
명예,Noun,남,3
명의,Noun,남,4
명의,Noun,여,4
명작,Noun,남,3
명작,Noun,여,1
명치,Noun,남,2
명품,Noun,남,2
몇,Modifier,남,1
몇,Noun,남,71
몇,Noun,여,27
몇몇,Noun,남,1
몇번,Noun,남,3
몇번,Noun,여,3
몇십,Modifier,남,1
모,Modifier,남,1
모,Modifier,여,1
모,Noun,남,12
모,Noun,여,1
모금,Noun,남,10
모기,Noun,남,1
모닝,Noun,남,1
모닝,Noun,여,1
모닝콜,Noun,남,3
모닥불,Noun,남,1
모닥불,Noun,여,1
모델,Noun,남,1
모두,Noun,남,348
모두,Noun,여,124
모드,Noun,남,1
모든,Modifier,남,50
모든,Modifier,여,9
모든,Noun,남,371
모든,Noun,여,112
모래,Noun,남,7
모래,Noun,여,8
모래사장,Noun,여,3
모래성,Noun,남,3
모래알,Noun,남,2
모래알,Noun,여,1
모래주머니,Noun,남,1
모레,Noun,남,4
모레,Noun,여,6
모로,Noun,남,1
모르게,Verb,남,31
모르게,Verb,여,50
모르겟니,Verb,여,1
모르겠네,Verb,남,3
모르겠는,Verb,남,1
모르겠는데,Verb,남,2
모르겠는데,Verb,여,1
모르겠니,Verb,남,4
모르겠니,Verb,여,6
모르겠다,Verb,남,32
모르겠다,Verb,여,2
모르겠다고,Verb,남,1
모르겠다면,Verb,남,1
모르겠단,Verb,남,1
모르겠어,Verb,남,28
모르겠어,Verb,여,33
모르겠어요,Verb,남,3
모르겠으니까,Verb,남,1
모르겠잖아,Verb,남,4
모르겠죠,Verb,남,1
모르겠지,Verb,남,6
모르겠지,Verb,여,4
모르겠지만,Verb,남,7
모르고,Verb,남,11
모르고,Verb,여,11
모르긴,Verb,여,1
모르나,Verb,남,2
모르나,Verb,여,2
모르나요,Verb,여,3
모르는,Verb,남,40
모르는,Verb,여,15
모르는데,Verb,남,3
모르니,Verb,남,9
모르니,Verb,여,10
모르니까,Verb,남,2
모르던,Verb,남,7
모르던,Verb,여,4
모르면,Verb,남,1
모르면,Verb,여,2
모르면서,Verb,남,1
모르면서,Verb,여,1
모르시죠,Verb,남,1
모르잖아요,Verb,남,6
모르잖아요,Verb,여,2
모르죠,Verb,남,3
모르죠,Verb,여,1
모르지,Verb,남,4
모르지,Verb,여,2
모르지만,Verb,남,9
모르지만,Verb,여,5
모른,Verb,남,24
모른,Verb,여,29
모른다,Verb,남,3
모른다,Verb,여,1
모른다고,Verb,여,1
모른다네,Verb,남,1
모른다면,Verb,남,4
모른체,Noun,남,1
모를,Verb,남,25
모를,Verb,여,6
모를까,Verb,남,2
모를테니,Verb,남,1
모를테지,Verb,남,1
모름,Noun,남,1
모방,Noun,남,1
모셔,Verb,여,1
모션,Noun,여,1
모순,Noun,남,1
모습,Noun,남,207
모습,Noun,여,93
모아,Verb,남,12
모아,Verb,여,7
모아서,Verb,남,2
모아서,Verb,여,1
모양,Noun,남,1
모양,Noun,여,4
모양새,Noun,남,1
모여,Verb,남,8
모여,Verb,여,8
모여라,Verb,남,5
모여라,Verb,여,1
모으면,Verb,남,4
모으죠,Verb,남,1
모이,Noun,여,1
모인,Verb,남,1
모일,Verb,남,1
모자,Noun,남,3
모자라,Noun,남,7
모자라,Noun,여,1
모자라는,Verb,여,1
모자라서,Verb,남,1
모자라서,Verb,여,1
모자란,Verb,남,1
모자란,Verb,여,1
모자랐던,Verb,남,1
모조리,Noun,여,2
모진,Noun,여,2
모질게,Adjective,남,2
모질게도,Adjective,남,1
모차르트,Noun,남,1
모카,Noun,남,1
모카,Noun,여,1
모태,Noun,남,2
모터사이클,Noun,여,1
모퉁이,Noun,남,1
모험,Noun,남,5
모험,Noun,여,6
모험도,Noun,여,1
모호,Noun,남,1
모호한,Adjective,남,2
모호해도,Adjective,여,2
모히또,Noun,여,4
모히토,Noun,여,3
목,Noun,남,54
목,Noun,여,8
목걸이,Noun,남,2
목금,Noun,남,1
목록,Noun,여,1
목마,Noun,남,1
목마,Noun,여,2
목마름,Noun,남,3
목말,Noun,남,10
목매,Noun,남,1
목선,Noun,남,4
목소리,Noun,남,75
목소리,Noun,여,58
목소릴,Noun,남,5
목소릴,Noun,여,3
목숨,Noun,남,7
목숨,Noun,여,1
목요일,Noun,남,1
목적,Noun,남,7
목적지,Noun,남,3
목청,Noun,남,3
목타,Noun,남,1
목탁,Noun,여,1
목표,Noun,남,1
목표,Noun,여,1
몫,Noun,남,4
몫,Noun,여,1
몬,Noun,남,1
몬스터,Noun,남,2
몬스터,Noun,여,1
몰두하게,Adjective,남,1
몰디브,Noun,남,1
몰라,Verb,남,138
몰라,Verb,여,111
몰라도,Verb,남,19
몰라도,Verb,여,9
몰라몰라,Noun,여,1
몰라서,Verb,남,4
몰라야,Verb,남,2
몰라야만,Verb,여,1
몰라요,Verb,남,7
몰라요,Verb,여,7
몰라줄까,Verb,여,1
몰라줘도,Verb,남,4
몰랐나,Verb,남,2
몰랐네,Verb,남,1
몰랐다면,Verb,남,2
몰랐다면,Verb,여,1
몰랐던,Verb,남,3
몰랐던,Verb,여,14
몰랐어,Verb,남,17
몰랐어,Verb,여,3
몰랐어요,Verb,여,1
몰랐었냐고,Verb,남,1
몰랐었네,Verb,남,1
몰랐었다면,Verb,남,1
몰랐었다면,Verb,여,1
몰랐었던,Verb,남,4
몰랐었어,Verb,남,3
몰랐었지,Verb,남,2
몰랐으면,Verb,여,1
몰랐을까,Verb,남,2
몰랐을까,Verb,여,1
몰랐음,Verb,남,1
몰랐죠,Verb,남,2
몰랐지,Verb,남,2
몰래,Noun,남,56
몰래,Noun,여,44
몰러,Verb,남,1
몰아,Verb,남,6
몰아,Verb,여,1
몰아세워,Verb,남,1
몰아쳐,Verb,남,4
몰아치는,Verb,남,13
몰아치는,Verb,여,1
몰아치던,Verb,남,1
몰아친,Verb,남,6
몰아친다,Verb,남,1
몰아칠,Verb,남,1
몰이,Noun,남,1
몰입,Noun,여,1
몸,Noun,남,117
몸,Noun,여,43
몸매,Noun,남,2
몸매,Noun,여,4
몸무게,Noun,남,4
몸부림,Noun,남,4
몸살,Noun,남,1
몸서리,Noun,여,1
몸속,Noun,남,1
몸속,Noun,여,1
몸짓,Noun,남,25
몸짓,Noun,여,7
몹시,Noun,남,5
몹시,Noun,여,1
못,Noun,남,247
못,Noun,여,149
못,VerbPrefix,남,285
못,VerbPrefix,여,138
못마땅하게,Adjective,여,1
못마땅한,Adjective,남,1
못자,Verb,여,1
몽당연필,Noun,남,1
몽둥이,Noun,남,1
몽땅,Noun,남,1
몽롱,Noun,남,5
몽롱,Noun,여,1
몽환,Noun,남,1
묘,Noun,남,2
묘,Noun,여,1
묘사,Noun,남,1
무,Noun,남,24
무,Noun,여,2
무감각,Noun,남,2
무감각,Noun,여,1
무거운,Adjective,남,5
무거운,Adjective,여,1
무거운지,Adjective,남,1
무거운지를,Adjective,남,1
무거워,Noun,남,4
무거워졌었던,Adjective,남,1
무거워진,Adjective,남,1
무거웠던,Adjective,여,1
무겁게,Adjective,남,3
무겁고,Adjective,남,2
무겁긴,Adjective,남,1
무겁네,Adjective,남,1
무겁다,Adjective,남,1
무겁다고,Adjective,남,1
무겁지,Adjective,남,2
무게,Noun,남,13
무겐,Noun,남,1
무관심,Noun,남,2
무관심,Noun,여,1
무기,Noun,남,1
무기,Noun,여,1
무너,Noun,남,7
무너,Noun,여,3
무너져,Verb,남,11
무너져,Verb,여,4
무너져가는,Verb,남,6
무너져도,Verb,남,1
무너져만,Verb,여,2
무너졌어,Verb,여,1
무너졌었지,Verb,남,1
무너지게,Verb,여,1
무너지고,Verb,남,4
무너지는,Verb,남,7
무너지지,Verb,남,1
무너지지마,Verb,남,1
무너지지만,Verb,여,1
무너진,Verb,남,10
무너질,Verb,남,6
무너질텐데,Verb,남,1
무능력하지,Adjective,여,1
무당,Noun,남,1
무대,Noun,남,47
무대,Noun,여,10
무더운,Adjective,남,3
무덤,Noun,남,4
무뎌,Noun,남,2
무뎌져,Noun,남,6
무뎌져,Noun,여,2
무뎌졌,Noun,남,1
무뎌졌다,Noun,남,1
무도회,Noun,여,1
무등산,Noun,남,2
무딘,Noun,남,3
무뚝뚝한,Adjective,남,2
무뚝뚝한,Adjective,여,1
무뚝뚝해,Adjective,여,1
무력감,Noun,남,1
무렵,Noun,남,2
무르익,Noun,여,1
무르팍,Noun,남,2
무릎,Noun,남,13
무릎,Noun,여,2
무릎팍,Noun,남,2
무리,Noun,남,3
무리하네,Adjective,남,1
무리할래,Adjective,남,1
무명,Noun,남,1
무모한,Adjective,여,4
무모해,Adjective,남,1
무미건조한,Adjective,남,1
무법,Noun,남,1
무비,Noun,여,1
무사하길,Adjective,남,1
무색,Noun,남,2
무서우니까,Adjective,남,1
무서운,Adjective,남,1
무서운,Adjective,여,2
무서울,Adjective,남,2
무서움,Noun,남,3
무서워,Adjective,남,8
무서워,Adjective,여,2
무서워도,Adjective,남,1
무서워서,Adjective,남,2
무서워져,Adjective,남,1
무서워져,Adjective,여,3
무서워지고,Adjective,남,1
무서워지지만,Adjective,남,1
무서워하던,Adjective,남,1
무서워하지,Adjective,남,2
무서웠어,Adjective,남,1
무섭게,Adjective,남,1
무섭게,Adjective,여,5
무섭게도,Adjective,여,1
무섭고,Adjective,남,1
무섭네,Adjective,남,1
무섭다,Adjective,여,1
무섭다고,Adjective,남,1
무섭단,Adjective,남,1
무섭지,Adjective,남,2
무섭지,Adjective,여,1
무섭지가,Adjective,남,3
무성,Noun,남,1
무수,Noun,남,6
무슨,Modifier,남,5
무슨,Modifier,여,1
무슨,Noun,남,65
무슨,Noun,여,33
무시,Noun,남,13
무시무시했지,Adjective,남,1
무심코,Noun,여,3
무심하게,Adjective,여,1
무심하단,Adjective,남,1
무심하면,Adjective,남,1
무심한,Adjective,남,6
무심한,Adjective,여,6
무심했던,Adjective,남,1
무심했죠,Adjective,여,1
무심했지,Adjective,여,1
무심히,Adjective,남,3
무심히,Adjective,여,1
무아,Noun,남,1
무언,Noun,남,5
무언가,Noun,남,7
무얼,Noun,남,5
무얼,Noun,여,5
무엇,Noun,남,51
무엇,Noun,여,11
무용,Noun,남,2
무의미한,Adjective,남,2
무의미한,Adjective,여,1
무의미했던,Adjective,남,1
무의미했었지,Adjective,남,1
무의식,Noun,남,2
무의식,Noun,여,1
무작정,Noun,남,10
무작정,Noun,여,1
무전,Noun,남,2
무조건,Noun,남,1
무조건,Noun,여,3
무중력,Noun,남,1
무지,Noun,여,2
무지개,Noun,남,5
무지개,Noun,여,3
무질서,Noun,남,1
무참,Noun,남,2
무채색,Noun,남,1
무책임했던,Adjective,여,1
무척,Noun,남,1
무표정,Noun,남,1
무표정,Noun,여,1
무플,Noun,남,1
무한,Noun,남,3
무한,Noun,여,1
무한대,Noun,남,1
묵,Noun,남,1
묵묵히,Adjective,남,1
묵었지,Verb,남,1
묵직하게,Adjective,남,1
묵직한,Adjective,남,1
묶고,Verb,여,2
묶어,Verb,남,2
묶어,Verb,여,1
묶어줘,Verb,남,1
묶여,Verb,남,1
묶여,Verb,여,1
묶을,Verb,남,1
묶을까봐,Verb,여,1
묶인,Noun,남,4
묶인다,Verb,여,1
문,Modifier,남,4
문,Noun,남,52
문,Noun,여,13
문대,Noun,남,1
문득,Noun,남,16
문득,Noun,여,13
문산,Noun,남,1
문신,Noun,남,1
문의,Noun,남,1
문자,Noun,남,11
문자,Noun,여,1
문잘,Verb,남,1
문장,Noun,남,2
문제,Noun,남,12
문제,Noun,여,6
문질러,Verb,남,2
문턱,Noun,남,1
문화,Noun,남,1
문화재,Noun,남,1
묻게,Verb,여,1
묻고,Verb,남,3
묻고,Verb,여,6
묻곤,Verb,남,1
묻기,Verb,남,3
묻는,Verb,남,4
묻는다면,Verb,남,3
묻던,Verb,여,2
묻듯,Verb,남,1
묻어,Verb,남,14
묻어,Verb,여,1
묻어있는,Verb,남,1
묻었다,Verb,남,1
묻었어,Verb,남,2
묻었잖아,Verb,남,1
묻은,Verb,남,1
묻은,Verb,여,5
묻을,Verb,남,1
묻죠,Verb,남,1
묻지,Verb,남,15
묻지,Verb,여,3
묻지도,Verb,여,1
묻지마,Verb,남,5
묻지마,Verb,여,4
묻지말고,Verb,남,1
묻지요,Verb,남,1
묻혀,Verb,남,5
묻혀,Verb,여,1
묻혀져,Verb,남,1
묻히,Verb,남,1
묻힌다면,Verb,남,2
물,Noun,남,37
물,Noun,여,14
물감,Noun,여,1
물건,Noun,남,1
물결,Noun,남,4
물결,Noun,여,3
물고기,Noun,남,2
물고기,Noun,여,2
물구나무,Noun,남,2
물기,Noun,남,1
물끄러미,Noun,남,1
물대,Verb,남,1
물던,Verb,여,1
물드는,Verb,남,1
물든,Noun,남,11
물든,Noun,여,3
물들,Verb,남,2
물들,Verb,여,4
물들고,Verb,남,4
물들어,Verb,남,13
물들어,Verb,여,6
물들어가,Verb,남,3
물들어가지,Verb,남,3
물들어서,Verb,남,1
물들어와,Verb,남,1
물들여,Verb,남,1
물들여,Verb,여,5
물들을,Verb,남,1
물들이고,Verb,남,1
물들인,Verb,남,2
물들인,Verb,여,2
물땜시,Noun,남,1
물러나,Verb,남,4
물러나,Verb,여,1
물러나는,Verb,남,1
물러나잖니,Verb,남,1
물러날,Verb,남,1
물러서,Verb,남,3
물러서,Verb,여,1
물러서면,Verb,여,2
물러서야,Verb,남,2
물러서지,Verb,남,5
물러서지,Verb,여,2
물레,Noun,여,1
물론,Adverb,남,4
물론,Adverb,여,1
물리,Noun,남,2
물방울,Noun,남,1
물빛,Noun,남,1
물살,Noun,남,1
물속,Noun,여,3
물어,Noun,남,15
물어,Noun,여,5
물어내,Verb,남,1
물어보고,Verb,남,2
물어보는,Verb,남,2
물어보자,Verb,여,1
물어보지,Verb,남,1
물어보지,Verb,여,1
물어보지만,Verb,남,1
물어볼,Verb,여,2
물어볼게,Verb,남,2
물어볼까,Verb,남,1
물어볼까,Verb,여,1
물어봐,Verb,남,7
물어봐,Verb,여,2
물어봐도,Verb,남,2
물어봤어,Verb,남,1
물었어,Verb,남,2
물으니,Verb,여,1
물으면,Verb,남,1
물을게,Verb,남,2
물을수도,Verb,남,1
물음,Noun,남,1
물음표,Noun,남,5
물음표,Noun,여,4
물이,Noun,여,3
뭇,Noun,남,1
뭉게뭉게,Noun,여,1
뭉그적,Noun,남,2
뭉친,Verb,남,1
뭉툭,Noun,남,1
뭐,Noun,남,256
뭐,Noun,여,127
뭐길,Noun,남,1
뭐길,Noun,여,1
뭐라,Verb,남,17
뭐라,Verb,여,25
뭐라건,Verb,남,3
뭐라고,Verb,남,7
뭐라고,Verb,여,4
뭐라고요,Verb,남,3
뭐라구,Verb,여,1
뭐라구요,Verb,남,1
뭐라는,Verb,남,1
뭐라던,Verb,남,4
뭐라도,Verb,남,16
뭐라든,Verb,여,1
뭐랄까,Verb,남,3
뭐랬어,Noun,남,2
뭐시,Noun,남,1
뭐시기,Noun,남,1
뭔,Modifier,남,55
뭔,Modifier,여,30
뭔가,Noun,남,37
뭔가,Noun,여,20
뭔들,Noun,남,1
뭘,Noun,남,82
뭘,Noun,여,39
뭣,Noun,남,6
뭣,Noun,여,2
뭣좀,Noun,남,1
뮤비,Noun,남,1
뮤지션,Noun,남,1
뮤직,Noun,여,1
뮤직비디오,Noun,남,1
뮬뮈스,Noun,남,1
믄,Modifier,남,1
미,Adjective,남,2
미,Adjective,여,3
미각,Noun,남,1
미꾸라지,Noun,남,1
미끄러져,Verb,남,3
미끄러져,Verb,여,2
미끄러져가,Verb,여,2
미끄러지게,Verb,남,1
미네,Noun,남,1
미녀,Noun,남,7
미녀,Noun,여,1
미노,Noun,남,3
미노,Noun,여,4
미는데,Adjective,여,2
미니,Noun,남,1
미니마니모,Noun,남,2
미니홈피,Noun,남,1
미덕,Noun,남,1
미디어,Noun,남,1
미래,Noun,남,54
미래,Noun,여,19
미랜,Noun,남,2
미랜,Noun,여,2
미랠,Noun,남,4
미랠,Noun,여,3
미러,Noun,남,1
미러볼,Noun,남,1
미련,Noun,남,38
미련,Noun,여,11
미로,Noun,남,32
미로,Noun,여,8
미루고,Verb,여,1
미루기,Verb,여,1
미루는,Verb,여,1
미루지,Verb,여,1
미뤄,Verb,남,3
미뤘지,Verb,남,1
미리,Noun,남,10
미리,Noun,여,4
미모,Noun,여,1
미묘함,Adjective,남,1
미미,Noun,여,11
미세한,Adjective,남,1
미션,Noun,여,1
미소,Noun,남,100
미소,Noun,여,57
미숙,Noun,남,1
미스터리,Noun,남,1
미스테리,Noun,남,1
미시,Noun,남,1
미아,Noun,남,2
미안,Noun,남,4
미안,Noun,여,3
미안하다고,Adjective,남,5
미안하다는,Adjective,남,2
미안하다며,Adjective,여,1
미안하단,Adjective,남,1
미안하단,Adjective,여,3
미안하지,Adjective,남,4
미안하지만,Adjective,남,2
미안한,Adjective,남,2
미안한,Adjective,여,6
미안한데,Adjective,남,4
미안한데,Adjective,여,4
미안할,Adjective,남,4
미안할테니,Adjective,남,1
미안해,Adjective,남,62
미안해,Adjective,여,9
미안해란,Adjective,남,1
미안해요,Adjective,남,3
미안해져,Adjective,남,3
미안해하지는,Adjective,남,1
미약,Noun,남,3
미어,Adjective,남,8
미완성,Noun,남,2
미운,Verb,남,5
미울,Verb,남,1
미움,Noun,남,2
미움,Noun,여,1
미워,Verb,남,9
미워,Verb,여,12
미워도,Verb,남,3
미워도,Verb,여,1
미워서,Verb,남,1
미워요,Verb,여,2
미워져,Verb,남,7
미워지더라도,Verb,여,1
미워하게,Adjective,여,5
미워하고,Adjective,남,2
미워하기,Adjective,남,1
미워하라고,Adjective,여,1
미워하려고,Adjective,남,3
