형태소,품사,작사가,카운트
반짝이는,Verb,KENZIE,3
반짝이는,Verb,조윤경,10
반짝이면,Verb,조윤경,2
반짝인,Verb,KENZIE,1
반짝인,Verb,조윤경,1
반짝임,Noun,조윤경,1
반쪽,Noun,KENZIE,1
반칙,Noun,PDOGG,2
반칙,Noun,TEDDY,1
반한,Noun,조윤경,2
반해,Adjective,KENZIE,1
반해,Adjective,PDOGG,1
반해,Adjective,TEDDY,1
반했던,Adjective,TEDDY,1
반했어,Noun,TEDDY,1
받,Verb,TEDDY,1
받게,Verb,PDOGG,1
받겠지,Verb,PDOGG,1
받겠지,Verb,TEDDY,1
받고,Verb,PDOGG,5
받기도,Verb,PDOGG,1
받기엔,Verb,PDOGG,1
받는,Verb,PDOGG,7
받는,Verb,TEDDY,1
받던,Verb,PDOGG,1
받아,Verb,PDOGG,2
받아,Verb,조윤경,1
받아도,Verb,KENZIE,1
받아들여,Verb,KENZIE,1
받아들여,Verb,TEDDY,1
받아들여,Verb,조윤경,1
받아줘,Verb,KENZIE,2
받았어,Verb,PDOGG,1
받았지,Verb,PDOGG,1
받은,Verb,KENZIE,1
받은,Verb,PDOGG,1
받은,Verb,조윤경,7
받을,Verb,PDOGG,1
받잖니,Verb,TEDDY,1
받지,Verb,PDOGG,1
받지,Verb,TEDDY,1
받치고,Verb,PDOGG,1
발,Noun,KENZIE,9
발,Noun,PDOGG,22
발,Noun,TEDDY,1
발,Noun,조윤경,9
발가벗은,Verb,PDOGG,1
발걸음,Noun,KENZIE,1
발걸음,Noun,PDOGG,3
발걸음,Noun,조윤경,2
발끝,Noun,KENZIE,1
발끝,Noun,PDOGG,6
발끝,Noun,TEDDY,1
발라,Noun,PDOGG,1
발목,Noun,PDOGG,2
발밑,Noun,KENZIE,1
발밑,Noun,PDOGG,1
발버둥쳐,Verb,PDOGG,2
발버둥치고,Verb,PDOGG,2
발사,Noun,PDOGG,8
발악,Noun,TEDDY,2
발의,Noun,PDOGG,1
발자국,Noun,KENZIE,1
발자국,Noun,PDOGG,3
발전,Noun,PDOGG,1
발톱,Noun,KENZIE,1
밝게,Verb,PDOGG,3
밝게,Verb,TEDDY,1
밝고,Verb,PDOGG,1
밝아지는,Verb,조윤경,1
밝혀,Verb,KENZIE,1
밝혀줘,Verb,KENZIE,3
밝히는,Verb,PDOGG,1
밝히지,Verb,TEDDY,1
밟고,Verb,PDOGG,1
밟는,Verb,조윤경,1
밟아,Verb,KENZIE,1
밟아,Verb,PDOGG,1
밟지,Verb,PDOGG,1
밤,Noun,KENZIE,51
밤,Noun,PDOGG,26
밤,Noun,TEDDY,52
밤,Noun,조윤경,62
밤낮,Noun,TEDDY,1
밤새,Noun,KENZIE,6
밤새,Noun,PDOGG,2
밤새,Noun,TEDDY,2
밤새,Noun,조윤경,3
밤새도록,Verb,KENZIE,1
밤새도록,Verb,PDOGG,2
밤새도록,Verb,조윤경,3
밤중,Noun,PDOGG,1
밤하늘,Noun,KENZIE,1
밤하늘,Noun,조윤경,2
밥,Noun,KENZIE,1
밥,Noun,PDOGG,4
밥,Noun,TEDDY,1
방,Noun,KENZIE,5
방,Noun,PDOGG,26
방,Noun,TEDDY,1
방,Noun,조윤경,2
방금,Noun,KENZIE,1
방금,Noun,PDOGG,7
방금,Noun,TEDDY,1
방방,Adverb,PDOGG,1
방법,Noun,PDOGG,3
방서,Noun,PDOGG,1
방송,Noun,TEDDY,1
방식,Noun,KENZIE,2
방심한,Adjective,조윤경,2
방심했고,Adjective,조윤경,1
방아쇠,Noun,PDOGG,4
방아쇠,Noun,TEDDY,2
방울,Noun,TEDDY,1
방이,Noun,PDOGG,2
방정식,Noun,PDOGG,1
방탄,Noun,PDOGG,30
방탄소년단,Noun,PDOGG,8
방학,Noun,PDOGG,1
방향,Noun,PDOGG,2
방향,Noun,조윤경,1
방황,Noun,KENZIE,2
방황,Noun,PDOGG,2
방황,Noun,TEDDY,2
밭,Noun,TEDDY,1
배,Noun,PDOGG,5
배,Noun,TEDDY,1
배,Noun,조윤경,1
배배,Noun,PDOGG,2
배불렀지,Adjective,PDOGG,1
배신,Noun,KENZIE,1
배신,Noun,TEDDY,1
배울,Verb,PDOGG,1
배워,Verb,PDOGG,2
배워요,Verb,KENZIE,1
배웠다,Verb,PDOGG,1
배제,Noun,PDOGG,1
백,Modifier,KENZIE,1
백,Modifier,PDOGG,1
백,Noun,PDOGG,1
백,Noun,TEDDY,2
백,Noun,조윤경,2
백만,Noun,PDOGG,1
백수,Noun,KENZIE,1
백이,Noun,PDOGG,2
백지,Noun,PDOGG,3
밴,Verb,PDOGG,1
뱁새,Noun,PDOGG,15
뱃속,Noun,PDOGG,1
뱉게,Verb,KENZIE,2
뱉어,Verb,조윤경,6
뱉어야,Verb,TEDDY,1
뱉은,Verb,TEDDY,1
버거워져,Adjective,조윤경,1
버럭,Noun,PDOGG,1
버려,Verb,KENZIE,7
버려,Verb,PDOGG,13
버려,Verb,조윤경,17
버려도,Verb,PDOGG,2
버려요,Verb,KENZIE,3
버려요,Verb,PDOGG,1
버려줄,Verb,TEDDY,2
버려지네,Verb,PDOGG,1
버려진,Noun,PDOGG,2
버렸구만,Verb,PDOGG,1
버렸나,Verb,KENZIE,1
버렸나,Verb,PDOGG,2
버렸나,Verb,TEDDY,1
버렸네,Verb,PDOGG,1
버렸는,Verb,PDOGG,1
버렸는걸,Verb,TEDDY,1
버렸어,Verb,KENZIE,5
버렸어,Verb,PDOGG,5
버렸어,Verb,TEDDY,1
버렸죠,Verb,KENZIE,2
버렸지,Verb,KENZIE,1
버렸지,Verb,PDOGG,2
버렸지,Verb,조윤경,1
버렸지만,Verb,PDOGG,1
버렸지만,Verb,TEDDY,1
버릇,Noun,KENZIE,1
버리,Verb,PDOGG,1
버리게,Verb,KENZIE,3
버리게,Verb,PDOGG,1
버리게,Verb,TEDDY,1
버리겠어,Verb,TEDDY,1
버리겠으니까,Verb,TEDDY,1
버리고,Verb,KENZIE,1
버리고,Verb,PDOGG,2
버리고,Verb,TEDDY,7
버리고,Verb,조윤경,1
버리기,Verb,조윤경,1
버리는,Verb,KENZIE,2
버리는,Verb,PDOGG,1
버리는게,Verb,KENZIE,1
버리든,Verb,PDOGG,1
버리자,Verb,KENZIE,1
버리잖아요,Verb,KENZIE,1
버리죠,Verb,KENZIE,1
버리지,Verb,TEDDY,3
버리한,Verb,TEDDY,1
버린,Verb,KENZIE,13
버린,Verb,PDOGG,13
버린,Verb,TEDDY,10
버린,Verb,조윤경,19
버릴,Verb,KENZIE,9
버릴,Verb,PDOGG,5
버릴,Verb,TEDDY,2
버릴,Verb,조윤경,4
버릴거야,Verb,PDOGG,1
버릴게,Verb,KENZIE,2
버릴래,Verb,TEDDY,1
버릴지,Verb,KENZIE,1
버벌,Noun,PDOGG,1
버블,Noun,조윤경,3
버스,Noun,PDOGG,34
버킷리스트,Noun,TEDDY,1
버터,Noun,KENZIE,1
버텨,Verb,PDOGG,1
버튼,Noun,KENZIE,1
버튼,Noun,조윤경,1
버티는,Verb,TEDDY,1
버티지,Verb,KENZIE,1
버틸,Verb,KENZIE,3
버틸,Verb,TEDDY,3
버팀목,Noun,PDOGG,4
벅벅,Noun,PDOGG,1
벅차,Adjective,PDOGG,1
벅차게,Adjective,조윤경,1
벅차기만,Adjective,TEDDY,2
벅차는데,Adjective,KENZIE,1
벅찬,Adjective,조윤경,3
번,Noun,KENZIE,11
번,Noun,PDOGG,28
번,Noun,TEDDY,9
번,Noun,조윤경,20
번개,Noun,KENZIE,3
번개,Noun,조윤경,1
번만,Noun,조윤경,2
번복,Noun,TEDDY,1
번은,Noun,PDOGG,1
번의,Noun,PDOGG,4
번진,Noun,TEDDY,1
번진,Noun,조윤경,2
번째,Suffix,PDOGG,1
번째,Suffix,조윤경,1
번쩍,Noun,KENZIE,2
번호,Noun,조윤경,2
벌,Noun,PDOGG,11
벌레,Noun,TEDDY,2
벌려,Verb,조윤경,1
벌써,Noun,KENZIE,11
벌써,Noun,PDOGG,9
벌써,Noun,TEDDY,2
벌써,Noun,조윤경,7
벌어,Verb,PDOGG,1
벌어,Verb,TEDDY,5
벌어야,Verb,PDOGG,1
벌어지네,Verb,PDOGG,1
벌음,Noun,TEDDY,1
벌이,Noun,PDOGG,2
벌판,Noun,TEDDY,1
범위,Noun,PDOGG,1
범인,Noun,PDOGG,1
법,Noun,PDOGG,10
법,Noun,TEDDY,1
법,Noun,조윤경,1
법도,Noun,PDOGG,4
법칙,Noun,PDOGG,1
벗겨졌어,Verb,TEDDY,1
벗기가,Verb,PDOGG,1
벗기엔,Verb,PDOGG,1
벗는,Verb,PDOGG,1
벗어,Verb,KENZIE,2
벗어,Verb,TEDDY,1
벗어나,Verb,TEDDY,1
벗어나,Verb,조윤경,1
벗어나고,Verb,KENZIE,1
벗어나고,Verb,PDOGG,1
벗어나고,Verb,TEDDY,1
벗어날래도,Verb,PDOGG,1
벗어도,Verb,PDOGG,1
벙쪄버리,Noun,PDOGG,1
벚꽃,Noun,PDOGG,1
베기,Verb,TEDDY,1
베란다,Noun,PDOGG,1
베리,Noun,PDOGG,1
베이,Noun,조윤경,1
베이비,Noun,KENZIE,1
베이스,Noun,KENZIE,1
베일,Noun,조윤경,3
베테,Noun,PDOGG,1
베프,Noun,PDOGG,1
벼,Noun,PDOGG,1
벼랑,Noun,TEDDY,3
벼벼벼벼벼,Noun,PDOGG,1
벼벼벼벼병,Noun,PDOGG,2
벼슬,Noun,PDOGG,1
벽,Noun,PDOGG,2
벽,Noun,TEDDY,2
벽,Noun,조윤경,1
벽지,Noun,PDOGG,1
변,Noun,KENZIE,1
변치,Noun,KENZIE,4
변치,Noun,TEDDY,1
변치,Noun,조윤경,4
변하겠죠,Adjective,TEDDY,1
변하겠지만,Adjective,조윤경,2
변하는,Adjective,KENZIE,1
변하려,Adjective,조윤경,1
변하면,Adjective,PDOGG,1
변하지,Adjective,PDOGG,2
변하지,Adjective,TEDDY,2
변한,Adjective,KENZIE,1
변한,Adjective,PDOGG,7
변할게,Adjective,KENZIE,1
변함,Adjective,PDOGG,1
변해,Adjective,KENZIE,1
변해,Adjective,TEDDY,2
변해,Adjective,조윤경,1
변해도,Adjective,KENZIE,1
변해도,Adjective,TEDDY,1
변해만,Adjective,TEDDY,1
변해야,Adjective,KENZIE,1
변해줘,Adjective,PDOGG,1
변했나,Adjective,KENZIE,1
변했네,Adjective,KENZIE,1
변했네,Adjective,PDOGG,1
변했대,Adjective,PDOGG,1
변했어,Adjective,KENZIE,2
변화,Noun,PDOGG,1
변화구,Noun,PDOGG,1
별,Modifier,KENZIE,2
별,Noun,KENZIE,15
별,Noun,PDOGG,19
별,Noun,TEDDY,9
별,Noun,조윤경,11
별거,Noun,KENZIE,6
별거,Noun,조윤경,5
별것,Noun,조윤경,1
별로,Noun,KENZIE,1
별로,Noun,PDOGG,2
별빛,Noun,조윤경,4
별일,Noun,KENZIE,1
병,Noun,KENZIE,4
병,Noun,PDOGG,7
병,Noun,조윤경,2
병든,Verb,PDOGG,2
병들이,Verb,PDOGG,1
병신,Noun,PDOGG,2
볕,Noun,PDOGG,2
보,Noun,KENZIE,14
보,Noun,PDOGG,2
보게,Verb,KENZIE,2
보게,Verb,PDOGG,4
보게,Verb,조윤경,1
보겠어,Verb,PDOGG,4
보겠지,Verb,KENZIE,2
보겠지,Verb,조윤경,1
보고,Noun,KENZIE,16
보고,Noun,PDOGG,19
보고,Noun,TEDDY,6
보고,Noun,조윤경,8
보고싶어지는,Verb,TEDDY,1
보곤,Verb,PDOGG,1
보기,Noun,KENZIE,1
보기,Noun,PDOGG,1
보기,Noun,TEDDY,3
보내,Verb,KENZIE,2
보내,Verb,조윤경,1
보내고,Verb,KENZIE,3
보내고,Verb,TEDDY,1
보내고,Verb,조윤경,1
보내는,Verb,KENZIE,6
보내는,Verb,PDOGG,4
보내는,Verb,TEDDY,1
보내도,Verb,KENZIE,3
보내야,Verb,조윤경,1
보내주,Verb,PDOGG,1
보내준,Verb,PDOGG,1
보내줘야,Verb,KENZIE,2
보내지,Verb,PDOGG,1
보낸,Verb,TEDDY,7
보낸,Verb,조윤경,1
보낼,Verb,KENZIE,1
보낼래,Verb,KENZIE,1
보냈는데,Verb,TEDDY,1
보냈니,Verb,KENZIE,3
보네,Verb,KENZIE,1
보네,Verb,PDOGG,1
보네요,Verb,KENZIE,1
보는,Verb,KENZIE,5
보는,Verb,PDOGG,13
보는,Verb,TEDDY,3
보는,Verb,조윤경,6
보는거야,Verb,조윤경,1
보는데,Verb,KENZIE,3
보니,Verb,KENZIE,1
보니,Verb,PDOGG,7
보니,Verb,TEDDY,4
보니,Verb,조윤경,2
보다,Josa,KENZIE,15
보다,Josa,PDOGG,44
보다,Josa,TEDDY,10
보다,Josa,조윤경,23
보다,Verb,KENZIE,10
보다,Verb,PDOGG,1
보다,Verb,TEDDY,3
보다,Verb,조윤경,5
보다는,Josa,PDOGG,3
보다는,Josa,TEDDY,1
보다도,Josa,KENZIE,2
보단,Josa,PDOGG,8
보단,Josa,TEDDY,2
보단,Josa,조윤경,1
보드,Noun,PDOGG,1
보든,Verb,TEDDY,1
보듯이,Verb,TEDDY,2
보라,Noun,PDOGG,4
보라,Noun,조윤경,1
보라색,Noun,KENZIE,1
보란,Verb,PDOGG,1
보란,Verb,TEDDY,6
보란,Verb,조윤경,2
보려,Verb,KENZIE,1
보려,Verb,PDOGG,1
보려,Verb,조윤경,4
보름달,Noun,KENZIE,2
보름달,Noun,TEDDY,1
보름달,Noun,조윤경,1
보며,Verb,KENZIE,6
보며,Verb,PDOGG,3
보며,Verb,TEDDY,2
보며,Verb,조윤경,3
보면,Verb,KENZIE,7
보면,Verb,PDOGG,10
보면,Verb,TEDDY,10
보면,Verb,조윤경,2
보면서,Verb,PDOGG,1
보면서,Verb,TEDDY,1
보물,Noun,조윤경,1
보석,Noun,조윤경,4
보았죠,Verb,KENZIE,2
보여,Verb,KENZIE,10
보여,Verb,PDOGG,7
보여,Verb,TEDDY,8
보여,Verb,조윤경,2
보여도,Verb,KENZIE,1
보여요,Verb,KENZIE,3
보여요,Verb,TEDDY,2
보여주고,Verb,조윤경,1
보여주긴,Verb,PDOGG,1
보여주던,Verb,PDOGG,1
보여주지,Verb,KENZIE,1
보여준,Verb,조윤경,1
보여줄,Verb,PDOGG,1
보여줄게,Verb,KENZIE,1
보여줄게,Verb,PDOGG,12
보여줄게,Verb,TEDDY,1
보여줄게,Verb,조윤경,2
보여줘,Verb,KENZIE,5
보여줘,Verb,조윤경,3
보였단,Verb,TEDDY,1
보이,Noun,KENZIE,1
보이,Noun,TEDDY,5
보이기,Verb,조윤경,1
보이긴,Verb,조윤경,1
보이는,Verb,PDOGG,2
보이는,Verb,조윤경,1
보이더라,Verb,PDOGG,1
보이지,Noun,KENZIE,2
보이지,Noun,PDOGG,6
보이지,Noun,TEDDY,1
보이지,Noun,조윤경,1
보인,Verb,KENZIE,4
보인,Verb,조윤경,1
보인다,Verb,PDOGG,1
보인다면,Verb,TEDDY,3
보일까,Verb,PDOGG,1
보일라,Verb,PDOGG,1
보자,Verb,KENZIE,5
보자,Verb,PDOGG,1
보자,Verb,TEDDY,8
보자,Verb,조윤경,5
보자고,Verb,PDOGG,7
보자면,Verb,PDOGG,1
보잖니,Verb,TEDDY,1
보증금,Noun,PDOGG,1
보지,Noun,KENZIE,4
보지,Noun,PDOGG,4
보지,Noun,TEDDY,4
보지,Noun,조윤경,1
보진,Verb,TEDDY,1
보채지,Verb,TEDDY,1
보태,Noun,조윤경,1
보탬,Noun,PDOGG,1
복도,Noun,PDOGG,1
복수형,Noun,PDOGG,1
복숭아,Noun,KENZIE,1
복잡하지,Adjective,KENZIE,1
복잡한,Adjective,KENZIE,10
복잡한,Adjective,PDOGG,3
복잡한,Adjective,TEDDY,2
복잡해,Adjective,조윤경,1
본,Verb,KENZIE,5
본,Verb,PDOGG,4
본,Verb,TEDDY,5
본,Verb,조윤경,4
본능,Noun,KENZIE,4
본능,Noun,PDOGG,1
본능,Noun,조윤경,4
본다,Verb,PDOGG,2
본다고,Verb,TEDDY,1
본디,Noun,PDOGG,1
본때,Noun,PDOGG,1
본보야지,Verb,PDOGG,1
본심,Noun,PDOGG,2
볼,Noun,KENZIE,23
볼,Noun,PDOGG,20
볼,Noun,TEDDY,9
볼,Noun,조윤경,17
볼까,Verb,PDOGG,7
볼까,Verb,조윤경,1
볼라,Noun,PDOGG,1
볼륨,Noun,TEDDY,1
볼펜,Noun,PDOGG,1
볼품,Noun,PDOGG,1
봄,Noun,PDOGG,2
봄,Noun,TEDDY,14
봄,Noun,조윤경,2
봄날,Noun,PDOGG,3
봄날,Noun,조윤경,1
봅,Verb,PDOGG,1
봅시다,Verb,PDOGG,1
봉송,Noun,PDOGG,2
봐,Verb,KENZIE,55
봐,Verb,PDOGG,87
봐,Verb,TEDDY,35
봐,Verb,조윤경,53
봐도,Verb,KENZIE,6
봐도,Verb,PDOGG,12
봐도,Verb,TEDDY,10
봐도,Verb,조윤경,13
봐라,Verb,PDOGG,6
봐서,Verb,TEDDY,1
봐야,Verb,TEDDY,2
봐야지,Verb,PDOGG,1
봐요,Verb,KENZIE,7
봐요,Verb,PDOGG,1
봐요,Verb,TEDDY,2
봐요,Verb,조윤경,2
봐줘,Verb,KENZIE,3
봤겠지,Verb,PDOGG,1
봤는데,Verb,KENZIE,1
봤단,Verb,TEDDY,1
봤던,Verb,PDOGG,2
봤던,Verb,조윤경,1
봤어,Verb,KENZIE,1
봤어,Verb,PDOGG,1
봤어,Verb,TEDDY,2
봤을까,Verb,PDOGG,1
봤자,Verb,PDOGG,3
봤잔,Verb,KENZIE,2
봤지,Verb,KENZIE,1
봤지,Verb,PDOGG,8
부,Noun,PDOGG,1
부,Noun,TEDDY,1
부갈루,Noun,PDOGG,1
부끄러워,Adjective,PDOGG,1
부끄럽지,Adjective,PDOGG,2
부네,Adjective,PDOGG,1
부는,Verb,PDOGG,1
부는,Verb,TEDDY,1
부담,Noun,PDOGG,1
부담,Noun,TEDDY,5
부드러운,Adjective,조윤경,3
부드러워지자,Adjective,KENZIE,1
부드런,Adjective,조윤경,2
부드럽게,Adjective,KENZIE,2
부드럽게,Adjective,PDOGG,1
부드럽게,Adjective,조윤경,1
부디,Noun,KENZIE,1
부디,Noun,PDOGG,1
부디,Noun,TEDDY,1
부딪치고,Verb,PDOGG,1
부딪혀,Verb,KENZIE,3
부딪혀,Verb,PDOGG,1
부딪혀,Verb,조윤경,1
부딪히겠지,Verb,PDOGG,2
부딪히고,Verb,조윤경,1
부딪히며,Verb,PDOGG,1
부란,Noun,KENZIE,1
부러,Noun,PDOGG,4
부러워,Adjective,TEDDY,1
부러워하는,Adjective,조윤경,1
부러졌으니,Verb,PDOGG,1
부러진,Verb,TEDDY,1
부럽잖아,Adjective,TEDDY,1
부럽지,Adjective,KENZIE,1
부럽지,Adjective,PDOGG,1
부려,Verb,PDOGG,1
부르,Verb,PDOGG,1
부르게,Verb,PDOGG,1
부르는,Verb,PDOGG,3
부르던데,Verb,PDOGG,1
부르리,Verb,TEDDY,6
부르잖아,Verb,PDOGG,2
부르지만,Verb,TEDDY,1
부른,Verb,PDOGG,3
부른,Verb,조윤경,1
부른지도,Verb,PDOGG,1
부를,Verb,조윤경,4
부름,Verb,PDOGG,1
부릉부릉,Adverb,PDOGG,1
부모,Noun,PDOGG,2
부모님,Noun,PDOGG,7
부비,Noun,KENZIE,1
부산,Noun,PDOGG,2
부서져,Verb,PDOGG,1
부서져,Verb,조윤경,1
부서져가,Verb,PDOGG,1
부서져라,Verb,PDOGG,1
부서지게,Verb,KENZIE,2
부서지네,Verb,PDOGG,2
부서진,Verb,KENZIE,1
부서진,Verb,조윤경,1
부서질까,Verb,PDOGG,3
부셔,Verb,PDOGG,1
부숴,Noun,PDOGG,1
부숴,Noun,TEDDY,3
부신,Noun,조윤경,3
부실,Noun,조윤경,1
부심,Noun,PDOGG,2
부어,Noun,TEDDY,1
부어진,Adjective,KENZIE,1
부장,Noun,PDOGG,1
부재,Noun,PDOGG,1
부족하다,Adjective,PDOGG,1
부족한,Adjective,KENZIE,2
부족한,Adjective,PDOGG,1
부족한,Adjective,조윤경,1
부족한가,Adjective,TEDDY,2
부족할,Adjective,KENZIE,1
부족할까,Adjective,조윤경,1
부족함,Noun,KENZIE,1
부족해,Adjective,KENZIE,1
부족해,Adjective,TEDDY,3
부쩍,Noun,KENZIE,1
부탁,Noun,KENZIE,1
부탁,Noun,TEDDY,1
부터,Josa,KENZIE,6
부터,Josa,PDOGG,48
부터,Josa,TEDDY,9
부터,Josa,조윤경,3
부터,Noun,KENZIE,1
부턴,Josa,KENZIE,3
부턴,Josa,TEDDY,2
부턴,Josa,조윤경,1
북,Noun,조윤경,1
분,Noun,PDOGG,1
분,Noun,조윤경,2
분간,Noun,PDOGG,1
분노,Noun,TEDDY,1
분명,Noun,KENZIE,1
분명,Noun,PDOGG,3
분명,Noun,조윤경,3
분명하고,Adjective,PDOGG,1
분명한,Adjective,조윤경,1
분명히,Adjective,PDOGG,1
분명히,Adjective,조윤경,3
분수,Noun,조윤경,1
분위기,Noun,PDOGG,8
분위기,Noun,TEDDY,7
분위기,Noun,조윤경,1
분주하고,Adjective,KENZIE,1
분침,Noun,PDOGG,2
분파,Noun,KENZIE,1
분한,Noun,TEDDY,2
분했던지,Adjective,TEDDY,1
분홍,Noun,KENZIE,1
분홍,Noun,TEDDY,2
불,Noun,KENZIE,12
불,Noun,PDOGG,24
불,Noun,TEDDY,10
불,Noun,조윤경,6
불가,Noun,PDOGG,1
불가능하다,Adjective,PDOGG,1
불규칙,Noun,PDOGG,1
불금,Noun,TEDDY,1
불길,Noun,PDOGG,1
불길,Noun,TEDDY,3
불길,Noun,조윤경,1
불길한,Adjective,PDOGG,1
불꽃,Noun,KENZIE,3
불꽃,Noun,PDOGG,1
불꽃,Noun,TEDDY,2
불꽃,Noun,조윤경,5
불꽃놀이,Noun,KENZIE,1
불더라도,Verb,KENZIE,1
불러,Verb,KENZIE,2
불러,Verb,PDOGG,23
불러,Verb,TEDDY,6
불러,Verb,조윤경,1
불러내,Verb,KENZIE,1
불러내고요,Verb,KENZIE,1
불러도,Verb,TEDDY,2
불러라,Verb,TEDDY,1
불러와,Verb,조윤경,1
불러요,Verb,TEDDY,3
불러주던,Verb,조윤경,1
불러주며,Verb,조윤경,1
불러줄,Verb,PDOGG,1
불러줄게,Verb,PDOGG,1
불러줄게,Verb,TEDDY,1
불러줘,Verb,PDOGG,1
불러줘,Verb,TEDDY,1
불렀네,Verb,PDOGG,3
불리,Noun,조윤경,1
불만,Noun,TEDDY,2
불빛,Noun,KENZIE,4
불빛,Noun,TEDDY,4
불수록,Verb,TEDDY,1
불쌍해,Adjective,TEDDY,3
불쌍해하지,Adjective,TEDDY,3
불쑥,Noun,조윤경,2
불씨,Noun,TEDDY,2
불안,Noun,TEDDY,1
불안전,Noun,PDOGG,1
불안하게,Adjective,조윤경,1
불안하지,Adjective,KENZIE,1
불안하지,Adjective,PDOGG,1
불안한,Adjective,TEDDY,1
불안함을,Adjective,PDOGG,1
불안해,Adjective,TEDDY,2
불안해져,Adjective,TEDDY,1
불안해져,Adjective,조윤경,1
불안해하는,Adjective,조윤경,1
불안해하지만,Adjective,조윤경,1
불어,Noun,TEDDY,4
불어내,Verb,PDOGG,2
불장난,Noun,PDOGG,1
불장난,Noun,TEDDY,9
불조심,Noun,TEDDY,1
불충분한,Adjective,TEDDY,1
불침번,Noun,TEDDY,1
불타,Noun,PDOGG,3
불타는,Adjective,KENZIE,1
불투명한,Adjective,PDOGG,1
불편한,Adjective,PDOGG,1
불편해,Adjective,PDOGG,2
불편했는지,Adjective,TEDDY,1
불행,Noun,PDOGG,2
불행한,Adjective,PDOGG,1
불행해,Adjective,TEDDY,1
붉게,Adjective,PDOGG,4
붉게,Adjective,조윤경,1
붉은,Adjective,KENZIE,1
붉은,Adjective,PDOGG,1
붉은,Adjective,TEDDY,1
붉은,Adjective,조윤경,1
붐붐붐,Noun,TEDDY,1
붐비고,Verb,KENZIE,1
붐비는,Verb,KENZIE,2
붓는,Verb,PDOGG,1
붓지,Verb,TEDDY,1
붕,Noun,PDOGG,1
붕괴,Noun,TEDDY,1
붙건,Verb,PDOGG,1
붙기,Verb,PDOGG,1
붙들,Verb,PDOGG,1
붙어,Verb,KENZIE,4
붙어,Verb,조윤경,1
붙어라,Verb,PDOGG,3
붙어라,Verb,TEDDY,1
붙여,Verb,TEDDY,1
붙여,Verb,조윤경,2
붙은,Verb,TEDDY,2
붙잡고,Verb,KENZIE,5
붙잡고,Verb,PDOGG,2
붙잡아,Verb,TEDDY,1
붙잡어,Verb,PDOGG,3
붙잡지도,Verb,KENZIE,6
붙지만,Verb,KENZIE,2
뷔,Noun,PDOGG,20
뷰,Noun,조윤경,1
브러,Noun,PDOGG,1
브런치,Noun,PDOGG,1
브레이커,Noun,PDOGG,1
브레이크,Noun,PDOGG,1
브로드웨이,Noun,PDOGG,1
브이,Noun,PDOGG,1
블랑카,Noun,KENZIE,1
블랙벨트,Noun,PDOGG,1
블럭,Noun,PDOGG,1
블록버스터,Noun,KENZIE,1
비,Noun,KENZIE,8
비,Noun,PDOGG,5
비,Noun,TEDDY,1
비,Noun,조윤경,11
비겁하지만,Adjective,TEDDY,1
비교,Noun,KENZIE,1
비교,Noun,TEDDY,1
비교,Noun,조윤경,1
비극,Noun,PDOGG,2
비기와,Verb,PDOGG,1
비꼬는,Verb,TEDDY,2
비누,Noun,KENZIE,4
비는,Verb,TEDDY,2
비디오,Noun,PDOGG,1
비례,Noun,PDOGG,1
비로소,Noun,PDOGG,2
비록,Noun,조윤경,1
비명,Noun,TEDDY,1
비밀,Noun,KENZIE,2
비밀,Noun,PDOGG,1
비밀,Noun,조윤경,6
비밀스러운,Adjective,조윤경,1
비밀스런,Adjective,조윤경,4
비바람,Noun,PDOGG,3
비바람,Noun,TEDDY,4
비비디,Verb,TEDDY,1
비빔밥,Noun,PDOGG,1
비슷한,Adjective,PDOGG,1
비슷한,Adjective,TEDDY,2
비슷한,Adjective,조윤경,1
비슷해,Adjective,TEDDY,1
비싸고,Adjective,PDOGG,1
비싼,Adjective,KENZIE,1
비약,Noun,PDOGG,2
비어,Noun,PDOGG,1
비어,Noun,조윤경,1
비우고,Verb,PDOGG,1
비우니,Verb,PDOGG,1
비운,Noun,조윤경,1
비웃고,Verb,KENZIE,1
비웃는,Verb,TEDDY,1
비웃어,Verb,TEDDY,1
비웃어라,Verb,TEDDY,2
비웃지,Verb,TEDDY,1
비워,Verb,KENZIE,1
비워,Verb,조윤경,1
비워내지,Verb,조윤경,2
비워라,Verb,TEDDY,1
비웠어,Verb,PDOGG,1
비제,Noun,KENZIE,1
비쥬,Noun,TEDDY,1
비즈니스,Noun,PDOGG,1
비쳐,Verb,KENZIE,1
비쳐요,Verb,KENZIE,1
비추는,Verb,PDOGG,1
비추면,Verb,KENZIE,1
비춘,Verb,PDOGG,1
비출,Verb,PDOGG,1
비출게,Verb,PDOGG,1
비춰,Verb,KENZIE,3
비춰,Verb,조윤경,2
비춰지는,Verb,조윤경,1
비치는,Verb,조윤경,2
비친,Verb,KENZIE,2
비친,Verb,TEDDY,2
비친,Verb,조윤경,7
비침,Verb,PDOGG,2
비켜,Verb,KENZIE,1
비켜,Verb,TEDDY,1
비켜줄래,Verb,TEDDY,3
비키니,Noun,PDOGG,1
비트,Noun,PDOGG,3
비틀,Noun,KENZIE,2
비틀대며,Verb,PDOGG,1
비틀려,Verb,조윤경,1
비평가,Noun,TEDDY,1
비행,Noun,PDOGG,4
비행기,Noun,PDOGG,1
비현실적,Noun,PDOGG,1
비호감,Noun,TEDDY,1
