형태소,품사,작사가,카운트
깨지,Verb,PDOGG,1
깨지,Verb,조윤경,3
깨진,Verb,TEDDY,1
깨진,Verb,조윤경,3
깨질수록,Verb,조윤경,1
꺼,Verb,KENZIE,1
꺼내,Verb,KENZIE,1
꺼내,Verb,PDOGG,1
꺼내,Verb,조윤경,1
꺼내줘,Verb,PDOGG,4
꺼내지도,Verb,PDOGG,1
꺼라,Verb,KENZIE,1
꺼라,Verb,TEDDY,1
꺼야,Verb,PDOGG,2
꺼야,Verb,TEDDY,3
꺼에요,Verb,KENZIE,1
꺼져,Verb,KENZIE,5
꺼져,Verb,PDOGG,1
꺼져,Verb,TEDDY,1
꺼져,Verb,조윤경,1
꺼져있는,Verb,TEDDY,1
꺼진,Verb,KENZIE,3
꺼진,Verb,PDOGG,1
꺼질,Verb,조윤경,1
꺾고서,Verb,조윤경,2
꺾은,Verb,KENZIE,1
꺾이지,Verb,TEDDY,1
꺾지,Verb,TEDDY,1
껀,Noun,PDOGG,2
께,Josa,PDOGG,2
께,Josa,TEDDY,2
께서,Josa,KENZIE,1
께서,Josa,PDOGG,2
껴,Verb,PDOGG,1
껴,Verb,조윤경,1
껴가게,Verb,조윤경,2
껴안아,Verb,KENZIE,3
껴안아,Verb,PDOGG,1
껴안자,Verb,KENZIE,1
꼬깃,Noun,PDOGG,1
꼬리,Noun,KENZIE,1
꼬리,Noun,TEDDY,1
꼬마,Noun,PDOGG,3
꼬마,Noun,TEDDY,2
꼬맹이,Noun,PDOGG,2
꼬이네,Adjective,KENZIE,1
꼬이는,Adjective,PDOGG,2
꼭,Noun,KENZIE,11
꼭,Noun,PDOGG,7
꼭,Noun,TEDDY,11
꼭,Noun,조윤경,13
꼭꼭,Noun,PDOGG,1
꼭꼭,Noun,조윤경,2
꼭대기,Noun,TEDDY,1
꼭두각시,Noun,PDOGG,1
꼭짓점,Noun,TEDDY,1
꼰대,Noun,PDOGG,1
꼰대들,Noun,PDOGG,2
꼴,Noun,KENZIE,2
꼴,Noun,PDOGG,1
꼴,Noun,TEDDY,2
꼴딱,Noun,PDOGG,1
꼴리는,Verb,PDOGG,1
꼼꼼히,Adjective,TEDDY,1
꼼짝,Noun,KENZIE,3
꼼짝,Noun,TEDDY,8
꼽,Noun,KENZIE,1
꽁,Adverb,KENZIE,2
꽁,Adverb,PDOGG,1
꽂혔나,Verb,PDOGG,6
꽂힐,Verb,KENZIE,2
꽃,Noun,KENZIE,4
꽃,Noun,PDOGG,19
꽃,Noun,TEDDY,4
꽃,Noun,조윤경,5
꽃길,Noun,PDOGG,1
꽃다발,Noun,TEDDY,1
꽃잎,Noun,PDOGG,4
꽃잎,Noun,조윤경,3
꽉,Noun,PDOGG,16
꽉,Noun,TEDDY,1
꽉,Noun,조윤경,1
꽐,Noun,TEDDY,1
꽤,Noun,PDOGG,5
꽤,Noun,TEDDY,1
꽹과리,Noun,PDOGG,3
꾸,Verb,PDOGG,2
꾸는,Verb,조윤경,2
꾸던,Verb,조윤경,1
꾸며,Verb,조윤경,1
꾸미지,Verb,PDOGG,1
꾸밀,Verb,PDOGG,1
꾸벅꾸벅,Adverb,KENZIE,1
꾸질한,Verb,PDOGG,1
꾹,Noun,조윤경,3
꾼,Noun,KENZIE,1
꾼,Noun,TEDDY,1
꿀,Noun,KENZIE,1
꿀,Noun,PDOGG,2
꿀,Noun,조윤경,1
꿀꺽,Noun,PDOGG,1
꿇게,Verb,조윤경,1
꿇고,Verb,TEDDY,1
꿇는,Verb,KENZIE,1
꿇지,Verb,PDOGG,4
꿈,Noun,KENZIE,21
꿈,Noun,PDOGG,79
꿈,Noun,TEDDY,6
꿈,Noun,조윤경,28
꿈결,Noun,조윤경,1
꿈꾸고,Verb,PDOGG,1
꿈꾸는,Verb,PDOGG,8
꿈꾸던,Verb,KENZIE,1
꿈꾸던,Verb,PDOGG,2
꿈꿔,Verb,KENZIE,4
꿈꿔,Verb,PDOGG,6
꿈속,Noun,PDOGG,4
꿈속,Noun,TEDDY,4
꿈이면,Verb,조윤경,1
꿈일,Noun,PDOGG,1
꿋꿋,Noun,PDOGG,1
꿔,Verb,PDOGG,2
꿔,Verb,TEDDY,2
꿔,Verb,조윤경,2
꿔도,Verb,PDOGG,1
끄고,Verb,KENZIE,1
끄네,Verb,PDOGG,1
끄덕,Noun,조윤경,2
끄적,Adverb,PDOGG,1
끈,Noun,PDOGG,1
끈,Noun,조윤경,1
끊겠어,Verb,KENZIE,2
끊어야겠어,Verb,TEDDY,2
끊어질,Verb,TEDDY,1
끊을,Verb,KENZIE,1
끊이질,Verb,TEDDY,1
끊임없이,Adjective,PDOGG,1
끌,Noun,TEDDY,4
끌려,Verb,TEDDY,1
끌려가네,Verb,KENZIE,1
끌려가지,Verb,PDOGG,1
끌렸다고,Verb,KENZIE,2
끌리는,Verb,PDOGG,4
끌리는,Verb,조윤경,2
끌리잖아,Verb,KENZIE,2
끌리지,Verb,KENZIE,1
끌린,Verb,조윤경,5
끌릴,Verb,조윤경,1
끌림,Verb,조윤경,1
끌림이,Verb,TEDDY,1
끌어,Verb,KENZIE,2
끌어,Verb,PDOGG,1
끌어,Verb,조윤경,2
끌어당겨,Verb,조윤경,1
끌어안고,Verb,조윤경,1
끌어안아,Verb,조윤경,1
끌어안아줘,Verb,PDOGG,8
끔,Verb,KENZIE,1
끝,Noun,KENZIE,24
끝,Noun,PDOGG,26
끝,Noun,TEDDY,43
끝,Noun,조윤경,16
끝나,Verb,TEDDY,3
끝나고,Verb,TEDDY,1
끝나고서는,Verb,PDOGG,1
끝나면,Verb,TEDDY,1
끝나잖아,Verb,PDOGG,2
끝나지,Verb,KENZIE,1
끝나지,Verb,PDOGG,1
끝난,Verb,KENZIE,1
끝난,Verb,PDOGG,1
끝날,Verb,TEDDY,2
끝날거,Verb,PDOGG,1
끝났기에,Verb,TEDDY,1
끝났다,Verb,PDOGG,1
끝났어,Verb,KENZIE,1
끝났어,Verb,조윤경,1
끝났지만,Verb,TEDDY,3
끝내,Noun,KENZIE,3
끝내,Noun,PDOGG,2
끝내,Noun,TEDDY,1
끝내,Noun,조윤경,2
끝내야,Verb,KENZIE,1
끝내야,Verb,TEDDY,1
끝내주잖아,Adjective,TEDDY,1
끝낼,Verb,TEDDY,4
끝낼게,Verb,KENZIE,3
끝없는,Adjective,PDOGG,5
끝없는,Adjective,TEDDY,1
끝없던,Adjective,조윤경,1
끝없이,Adverb,PDOGG,1
끝없이,Adverb,조윤경,9
끝일,Noun,KENZIE,2
끝장,Noun,TEDDY,7
끝판,Noun,PDOGG,3
끝판,Noun,TEDDY,1
끼,Noun,PDOGG,4
끼리,Noun,PDOGG,1
끼야아,Verb,PDOGG,1
끼워,Verb,KENZIE,2
끼워,Verb,PDOGG,1
낀,Verb,PDOGG,1
나,Josa,KENZIE,3
나,Josa,PDOGG,16
나,Josa,TEDDY,15
나,Josa,조윤경,3
나,Noun,KENZIE,124
나,Noun,PDOGG,290
나,Noun,TEDDY,121
나,Noun,조윤경,82
나가,Verb,KENZIE,1
나가,Verb,PDOGG,2
나가,Verb,TEDDY,6
나가,Verb,조윤경,2
나가내가,Verb,TEDDY,2
나가네,Verb,PDOGG,1
나가는,Verb,PDOGG,1
나가는,Verb,조윤경,2
나가려다가,Verb,PDOGG,4
나갈,Verb,PDOGG,1
나갈래,Verb,TEDDY,1
나게,Verb,PDOGG,1
나고,Verb,PDOGG,2
나고,Verb,TEDDY,1
나그네,Noun,PDOGG,1
나기,Noun,TEDDY,3
나나,Noun,KENZIE,1
나나,Noun,TEDDY,12
나날,Noun,KENZIE,1
나날,Noun,TEDDY,1
나네요,Verb,TEDDY,1
나누는,Verb,KENZIE,1
나누니까,Verb,KENZIE,1
나누자,Verb,KENZIE,1
나눈,Verb,PDOGG,1
나눠져,Verb,PDOGG,1
나는데,Verb,PDOGG,1
나니,Noun,TEDDY,1
나다운,Verb,PDOGG,1
나다워,Verb,PDOGG,1
나답,Noun,PDOGG,2
나답,Noun,조윤경,1
나도,Verb,KENZIE,19
나도,Verb,PDOGG,30
나도,Verb,TEDDY,6
나도,Verb,조윤경,1
나라,Noun,KENZIE,2
나라,Noun,PDOGG,3
나라,Noun,TEDDY,2
나라,Suffix,조윤경,1
나라구,Verb,KENZIE,2
나란,Verb,PDOGG,5
나란,Verb,TEDDY,1
나란,Verb,조윤경,1
나로,Noun,PDOGG,1
나로,Noun,조윤경,2
나른히,Adjective,KENZIE,1
나를,Verb,KENZIE,45
나를,Verb,PDOGG,72
나를,Verb,TEDDY,21
나를,Verb,조윤경,55
나름,Noun,PDOGG,1
나마,Noun,TEDDY,1
나면,Verb,KENZIE,2
나면,Verb,PDOGG,2
나면,Verb,TEDDY,1
나면,Verb,조윤경,3
나무,Noun,KENZIE,3
나무,Noun,PDOGG,2
나무,Noun,조윤경,5
나불대,Verb,TEDDY,1
나비,Noun,PDOGG,1
나비,Noun,조윤경,1
나비효과,Noun,PDOGG,1
나빠,Adjective,KENZIE,1
나빠,Adjective,PDOGG,6
나빠도,Adjective,KENZIE,1
나빠져,Verb,KENZIE,1
나빴어,Adjective,KENZIE,1
나쁘게,Adjective,KENZIE,2
나쁘지도,Adjective,PDOGG,1
나쁜,Adjective,KENZIE,6
나쁜,Adjective,PDOGG,1
나쁜,Adjective,TEDDY,7
나쁜남자,Noun,TEDDY,1
나서,Verb,KENZIE,1
나서,Verb,PDOGG,4
나서,Verb,조윤경,2
나서는,Verb,PDOGG,1
나선,Noun,TEDDY,1
나섰지,Verb,PDOGG,1
나섰지,Verb,조윤경,1
나스,Noun,PDOGG,1
나야,Noun,PDOGG,5
나야,Noun,TEDDY,1
나약한,Adjective,TEDDY,2
나약한,Adjective,조윤경,1
나약함은,Adjective,PDOGG,2
나였기에,Verb,PDOGG,1
나였는데,Verb,조윤경,1
나오는,Verb,PDOGG,3
나오는,Verb,TEDDY,1
나오는거,Verb,PDOGG,1
나오면,Verb,PDOGG,1
나오지,Verb,조윤경,1
나온,Verb,PDOGG,1
나온것도,Verb,PDOGG,1
나온대,Verb,KENZIE,1
나올,Verb,KENZIE,1
나올,Verb,PDOGG,1
나올까,Verb,PDOGG,2
나와,Verb,KENZIE,2
